id,name,artist_name,duration,audio,audiodownload,file_path,genres,shareurl,album_id,album_name,album_image,artist_id,position,license_ccurl,stats_rate_downloads_total,stats_rate_listened_total,stats_playlisted,stats_favorited,stats_likes,stats_dislikes,stats_avgnote,stats_notes
398185,Let's Keep Looking,Jason Silver,218,https://prod-1.storage.jamendo.com/?trackid=398185&format=mp31&from=z7Hz5uOBOrBfZKBoZ4fDvA%3D%3D%7CRF2xvuCi8b32rycT2fzlYQ%3D%3D,https://prod-1.storage.jamendo.com/download/track/398185/mp31/,,"pop,singersongwriter",https://www.jamendo.com/track/398185,49769,12 Girlfriends,https://usercontent.jamendo.com?type=album&id=49769&width=300&trackid=398185,352428,1,http://creativecommons.org/licenses/by-sa/3.0/,74026,1010722,169,55,2,0,8,3
2236788,memories,Offenbach Project,196,https://prod-1.storage.jamendo.com/?trackid=2236788&format=mp31&from=HoHdKuo29%2BqSKNEnXT49Nw%3D%3D%7CbqVHu5geBVnjoGt69rQUGw%3D%3D,https://prod-1.storage.jamendo.com/download/track/2236788/mp31/,,pop,https://www.jamendo.com/track/2236788,595493,Sweet Harmony,https://usercontent.jamendo.com?type=album&id=595493&width=300&trackid=2236788,352416,1,http://creativecommons.org/licenses/by-nc-nd/3.0/,4,200,0,0,0,0,0,0
1576494,Земля простит,Вадим Спирихин,367,https://prod-1.storage.jamendo.com/?trackid=1576494&format=mp31&from=Mj0TAp29KFipudes9dk9cw%3D%3D%7C9vyan3doAPzsH8pvMxeURQ%3D%3D,https://prod-1.storage.jamendo.com/download/track/1576494/mp31/,,pop,https://www.jamendo.com/track/1576494,179359,"Там,где кончается небо",https://usercontent.jamendo.com?type=album&id=179359&width=300&trackid=1576494,494084,10,http://creativecommons.org/licenses/by-nc-nd/3.0/,2470,88465,2,0,0,0,4,1
306463,Fairytales,Corvus,233,https://prod-1.storage.jamendo.com/?trackid=306463&format=mp31&from=9p2muzTHr5gS98lQlZ43YQ%3D%3D%7CN6CSGFl8qFRfMB3SutE8Bg%3D%3D,https://prod-1.storage.jamendo.com/download/track/306463/mp31/,,pop,https://www.jamendo.com/track/306463,41640,Beyond imagination,https://usercontent.jamendo.com?type=album&id=41640&width=300&trackid=306463,347808,3,http://creativecommons.org/licenses/by-sa/2.0/fr/,373,3863,71,48,0,0,0,0
97744,REIN - 01 - EST,Rein,245,https://prod-1.storage.jamendo.com/?trackid=97744&format=mp31&from=FGxOhkw%2FUitDCd3YcwWUlw%3D%3D%7CdhJBk746u2%2BYX8t8gBcbmg%3D%3D,https://prod-1.storage.jamendo.com/download/track/97744/mp31/,,pop,https://www.jamendo.com/track/97744,10104,EST!,https://usercontent.jamendo.com?type=album&id=10104&width=300&trackid=97744,336855,1,http://creativecommons.org/licenses/by-nc-nd/2.5/it/,5225,44815,477,257,0,0,0,0
181603,Délirante planète,Löhstana David,231,https://prod-1.storage.jamendo.com/?trackid=181603&format=mp31&from=1yqMESPfCyWZjRJ%2BA28wGw%3D%3D%7CYAlqT2x9r2mCXIKFuioCJQ%3D%3D,https://prod-1.storage.jamendo.com/download/track/181603/mp31/,,pop,https://www.jamendo.com/track/181603,27215,Le Moins Pire (avant la suite),https://usercontent.jamendo.com?type=album&id=27215&width=300&trackid=181603,7805,3,http://creativecommons.org/licenses/by-nc-nd/3.0/,6364,33832,500,311,2,0,8,2
179608,The Little Lies,Sickboys and Lowmen,191,https://prod-1.storage.jamendo.com/?trackid=179608&format=mp31&from=%2BLlwuCSOy%2FTrg6S9CkOIZA%3D%3D%7CU1kqFugy1N4H9M553TeFNg%3D%3D,https://prod-1.storage.jamendo.com/download/track/179608/mp31/,,pop,https://www.jamendo.com/track/179608,26757,White Buffalo,https://usercontent.jamendo.com?type=album&id=26757&width=300&trackid=179608,2074,3,http://creativecommons.org/licenses/by-nc-nd/3.0/nl/,10258,490036,56,21,0,0,8,1
1508790,Sueño Hipnótico,Miguel Angel Albentosa Bó (MaaBo),207,https://prod-1.storage.jamendo.com/?trackid=1508790&format=mp31&from=kHGTViA8s7aosbV4ESGNjg%3D%3D%7CyqfR%2BhlPgWIy4Nzs6I4ydA%3D%3D,https://prod-1.storage.jamendo.com/download/track/1508790/mp31/,,"pop,newage",https://www.jamendo.com/track/1508790,415235,Sueño Hipnótico,https://usercontent.jamendo.com?type=album&id=415235&width=300&trackid=1508790,486442,1,http://creativecommons.org/licenses/by-nc-nd/3.0/,6225,12243,7,3,0,0,0,0
1576493,Бронзовый туман (марш неудачников),Вадим Спирихин,312,https://prod-1.storage.jamendo.com/?trackid=1576493&format=mp31&from=WMVuqLrVkrqpwr5wKxG%2BBA%3D%3D%7C%2FKT%2FcAOfAaTiAqWhdJfY2g%3D%3D,https://prod-1.storage.jamendo.com/download/track/1576493/mp31/,,pop,https://www.jamendo.com/track/1576493,179359,"Там,где кончается небо",https://usercontent.jamendo.com?type=album&id=179359&width=300&trackid=1576493,494084,8,http://creativecommons.org/licenses/by-nc-nd/3.0/,2679,36311,2,0,0,0,4,1
1576496,Меж двух дождей,Вадим Спирихин,304,https://prod-1.storage.jamendo.com/?trackid=1576496&format=mp31&from=Ohw3pkig34z9QFgOgE%2F45A%3D%3D%7CqHeKk%2FyCv6m%2BP7ZFkoqm6Q%3D%3D,https://prod-1.storage.jamendo.com/download/track/1576496/mp31/,,pop,https://www.jamendo.com/track/1576496,179359,"Там,где кончается небо",https://usercontent.jamendo.com?type=album&id=179359&width=300&trackid=1576496,494084,11,http://creativecommons.org/licenses/by-nc-nd/3.0/,2785,74905,2,0,0,0,4,1
174040,Suerte,Antoniocamel,175,https://prod-1.storage.jamendo.com/?trackid=174040&format=mp31&from=seyw7qjuFFsDdOp8snd2Fw%3D%3D%7CDl9hjFWrBlELbcTOW1XIUQ%3D%3D,https://prod-1.storage.jamendo.com/download/track/174040/mp31/,,"pop,ambient",https://www.jamendo.com/track/174040,25712,CONSTELACION,https://usercontent.jamendo.com?type=album&id=25712&width=300&trackid=174040,339831,5,http://creativecommons.org/licenses/by-nc-nd/3.0/,19021,20450,6,2,0,0,0,1
