id,name,artist_name,duration,audio,audiodownload,file_path,genres,shareurl,album_id,album_name,album_image,artist_id,position,license_ccurl,stats_rate_downloads_total,stats_rate_listened_total,stats_playlisted,stats_favorited,stats_likes,stats_dislikes,stats_avgnote,stats_notes
623192,Set Me Free,Chasing Eidolon,337,https://prod-1.storage.jamendo.com/?trackid=623192&format=mp31&from=Wt6YJzSiayeidSZs%2B9vHTQ%3D%3D%7CJRhkKK%2BqbeDShRPfe0l4Kw%3D%3D,https://prod-1.storage.jamendo.com/download/track/623192/mp31/,,"pop,rock",https://www.jamendo.com/track/623192,72189,Chasing Eidolon,https://usercontent.jamendo.com?type=album&id=72189&width=300&trackid=623192,361898,4,http://creativecommons.org/licenses/by-nc-nd/3.0/,1371835,3551805,840,483,73,1,7.6364,11
1215788,We'll Light The Sky,Lyonn,168,https://prod-1.storage.jamendo.com/?trackid=1215788&format=mp31&from=9djJ51oV3THL8blLTumD3Q%3D%3D%7CogO3%2FOxdadK0jw7TfXltBg%3D%3D,https://prod-1.storage.jamendo.com/download/track/1215788/mp31/,,"pop,dreampop",https://www.jamendo.com/track/1215788,145856,We'll Light The Sky,https://usercontent.jamendo.com?type=album&id=145856&width=300&trackid=1215788,440873,2,http://creativecommons.org/licenses/by-nd/3.0/,1467176,4065675,2109,1353,11,2,8,2
1093792,Day Free,JekK,197,https://prod-1.storage.jamendo.com/?trackid=1093792&format=mp31&from=OfYp3OxILZCmdkVpgmwfPw%3D%3D%7Cr%2FJDSuCslGk9i6RoNcA7YQ%3D%3D,https://prod-1.storage.jamendo.com/download/track/1093792/mp31/,,"pop,dubstep,electronic",https://www.jamendo.com/track/1093792,130370,One Day,https://usercontent.jamendo.com?type=album&id=130370&width=300&trackid=1093792,440692,3,http://creativecommons.org/licenses/by-nc-nd/3.0/,849313,3557599,1360,799,168,7,8.1429,7
1267288,Everything is good,ADDICT SOUND,262,https://prod-1.storage.jamendo.com/?trackid=1267288&format=mp31&from=m61d119dOVslX7o2Zc%2Bybg%3D%3D%7CppBQZzHsC5Li%2F98BgKzATA%3D%3D,https://prod-1.storage.jamendo.com/download/track/1267288/mp31/,,"pop,corporate",https://www.jamendo.com/track/1267288,151447,Everything is good,https://usercontent.jamendo.com?type=album&id=151447&width=300&trackid=1267288,451073,4,http://creativecommons.org/licenses/by-nc-nd/3.0/,505920,769599,603,336,4,0,0,0
435886,i never do what you want  ,Lar Clobsay,298,https://prod-1.storage.jamendo.com/?trackid=435886&format=mp31&from=UipA0HnyISN6ZOO%2FRd3waQ%3D%3D%7CyFF1UKzzBPMOx4oBswlnpQ%3D%3D,https://prod-1.storage.jamendo.com/download/track/435886/mp31/,,pop,https://www.jamendo.com/track/435886,52815,I never do what you want ,https://usercontent.jamendo.com?type=album&id=52815&width=300&trackid=435886,349911,1,http://creativecommons.org/licenses/by-nc-sa/3.0/,507388,3129330,156,44,10,0,8,2
1087794,Positive Emotions,StereoResonance,175,https://prod-1.storage.jamendo.com/?trackid=1087794&format=mp31&from=hk9050Ir0UgvdVVp9PDBPw%3D%3D%7Cju8Nlc1RR42rPSPy87dDnw%3D%3D,https://prod-1.storage.jamendo.com/download/track/1087794/mp31/,,"pop,corporate,electronic",https://www.jamendo.com/track/1087794,129678,Positive Emotions,https://usercontent.jamendo.com?type=album&id=129678&width=300&trackid=1087794,431036,1,http://creativecommons.org/licenses/by-nc-nd/3.0/,167419,719198,2089,762,15,0,8.6667,6
1507067,For a Song,Big Infinite,200,https://prod-1.storage.jamendo.com/?trackid=1507067&format=mp31&from=ZWV7VXE%2BIWzysPLZwhciiQ%3D%3D%7CcTI69V8kgVqwL0t%2FoXTxGQ%3D%3D,https://prod-1.storage.jamendo.com/download/track/1507067/mp31/,,"pop,singersongwriter",https://www.jamendo.com/track/1507067,220858,For a Song,https://usercontent.jamendo.com?type=album&id=220858&width=300&trackid=1507067,505750,1,http://creativecommons.org/licenses/by/3.0/,49406,475650,75,38,0,0,8,1
1076489,Bright Future (loop),Akashic Records,181,https://prod-1.storage.jamendo.com/?trackid=1076489&format=mp31&from=qOW8OyPJWySl19IO1HBccA%3D%3D%7C2eJH1QDCBA%2F47%2F8UHFZeGQ%3D%3D,https://prod-1.storage.jamendo.com/download/track/1076489/mp31/,,"pop,folk,loop",https://www.jamendo.com/track/1076489,128219,Bright Future (happy acoustic pop rock),https://usercontent.jamendo.com?type=album&id=128219&width=300&trackid=1076489,375935,1,http://creativecommons.org/licenses/by-nc-nd/3.0/,57888,181412,670,282,16,0,10,1
2029668,Свет (Reprise version),J.O.R.B.I,212,https://prod-1.storage.jamendo.com/?trackid=2029668&format=mp31&from=uGTU0CVN4z%2FUJq3nQBps8w%3D%3D%7COs8wHgVKfnRp1a8ohBZ8SQ%3D%3D,https://prod-1.storage.jamendo.com/download/track/2029668/mp31/,,pop,https://www.jamendo.com/track/2029668,520142,Свет (Single 2023),https://usercontent.jamendo.com?type=album&id=520142&width=300&trackid=2029668,489133,1,http://creativecommons.org/licenses/by-nc-nd/3.0/,355,1056,0,0,0,0,4,1
2015989,Ta Muito Bom Instrumental,Ed Napoli,185,https://prod-1.storage.jamendo.com/?trackid=2015989&format=mp31&from=J5NBoE6E32CYuACH8Sf8bQ%3D%3D%7CkiwRF9No8DEq27oG%2BxR1Tg%3D%3D,,,pop,https://www.jamendo.com/track/2015989,514945,Ta Muito Bom Instrumental,https://usercontent.jamendo.com?type=album&id=514945&width=300&trackid=2015989,475085,1,http://creativecommons.org/licenses/by-nc-nd/3.0/,0,1217,3,0,0,0,0,0
